ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
408920,Gullón Bio sušienky s ovsom a pšenicou 250 g,gullon bio susienky s ovsom a psenicou 250 g,3.39,0,GRAMS,250.0,18,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408921,Ke kafíčku ovsené sušienky suché 190g,ke kaficku ovsene susienky suche 190g,1.39,0,GRAMS,190.0,17,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408922,Kinder Cards 128 g,kinder cards 128 g,2.99,0,GRAMS,128.0,62,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408923,Laguna Indián kakaový keks 100 g,laguna indian kakaovy keks 100 g,0.65,0,GRAMS,100.0,26,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408924,Laguna Marina fenikel aníz 100 g,laguna marina fenikel aniz 100 g,0.65,0,GRAMS,100.0,63,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408925,Laguna Marina keks jahoda 100 g,laguna marina keks jahoda 100 g,0.65,0,GRAMS,100.0,68,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408926,Lotus Biscoff Karamelizované sušienky spojené krémovou náplňou z karamelizovaných sušienok 150 g,lotus biscoff karamelizovane susienky spojene kremovou naplnou z karamelizovanych susienok 150 g,2.19,0,GRAMS,150.0,19,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408927,Lotus Biscoff Karamelizované sušienky spojené náplňou s príchuťou mliečnej čokolády 150 g,lotus biscoff karamelizovane susienky spojene naplnou s prichutou mliecnej cokolady 150 g,2.19,0,GRAMS,150.0,30,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408928,Lotus Biscoff Karamelizované sušienky spojené náplňou s vanilkovou príchuťou 150 g,lotus biscoff karamelizovane susienky spojene naplnou s vanilkovou prichutou 150 g,2.19,0,GRAMS,150.0,28,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408929,LOTUS Sušienky originál 250g,lotus susienky original 250g,2.19,0,GRAMS,250.0,12,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408930,Milka Choco Biscuits sušienky s čokoládou 150 g,milka choco biscuits susienky s cokoladou 150 g,2.39,0,GRAMS,150.0,17,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408931,Milka Choco Cow sušienky polomáčané. mliečna čokoláda 40 g,milka choco cow susienky polomacane. mliecna cokolada 40 g,0.6,0,GRAMS,40.0,19,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408932,Milka Choco Grain sušienky polomáčané. mliečna čokoláda 42 g,milka choco grain susienky polomacane. mliecna cokolada 42 g,0.6,0,GRAMS,42.0,32,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408933,Milka Choco Mini Stars sušienky s mliečnou náplňou polomáčané 150 g,milka choco mini stars susienky s mliecnou naplnou polomacane 150 g,2.39,0,GRAMS,150.0,28,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408934,Milka Choco Minis sušienky mliečna náplň a čokoláda 37.5 g,milka choco minis susienky mliecna napln a cokolada 37.5 g,0.6,0,GRAMS,37.5,23,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408935,Milka Cookie Loop sušienky s kúskami čokolády 132 g,milka cookie loop susienky s kuskami cokolady 132 g,2.39,0,GRAMS,132.0,19,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408936,Nature Line Diacoca kakaovo - kokosové 180 g,nature line diacoca kakaovo - kokosove 180 g,1.49,0,GRAMS,180.0,22,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408937,Opavia BeBe Dobré Ráno kakaové sušienky -30% cukru 50 g,opavia bebe dobre rano kakaove susienky -30% cukru 50 g,0.65,0,GRAMS,50.0,41,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
